Common Name,Frequency (%)
American Crow,46.18%
American Robin,45.62%
Song Sparrow,42.52%
Northern Flicker,37.37%
Mallard,34.55%
Dark-eyed Junco,34.14%
Spotted Towhee,32.80%
Black-capped Chickadee,29.73%
Common Raven,29.18%
Glaucous-winged Gull,28.38%
Canada Goose,27.88%
Bald Eagle,27.19%
European Starling,24.74%
House Finch,24.57%
Anna's Hummingbird,22.30%
Red-breasted Nuthatch,21.02%
Chestnut-backed Chickadee,20.98%
Red-winged Blackbird,20.98%
Great Blue Heron,19.64%
Pine Siskin,17.69%
White-crowned Sparrow,17.36%
Bufflehead,15.70%
American Goldfinch,15.33%
Yellow-rumped Warbler,15.18%
House Sparrow,14.37%
American Wigeon,14.21%
Steller's Jay,13.56%
Golden-crowned Kinglet,12.93%
Downy Woodpecker,12.58%
Pacific Wren,11.46%
Ruby-crowned Kinglet,11.33%
Rock Pigeon,11.17%
Golden-crowned Sparrow,11.17%
Common Merganser,10.86%
Violet-green Swallow,10.85%
Red-tailed Hawk,10.73%
Bewick's Wren,10.71%
Green-winged Teal,10.23%
Double-crested Cormorant,10.16%
Cedar Waxwing,9.87%
Belted Kingfisher,9.40%
Killdeer,9.40%
Barn Swallow,9.06%
Fox Sparrow,8.98%
Rufous Hummingbird,8.86%
Brown Creeper,8.85%
Tree Swallow,8.60%
Eurasian Collared-Dove,8.60%
Turkey Vulture,8.57%
Orange-crowned Warbler,8.50%
Bushtit,8.27%
Short-billed Gull,8.24%
Purple Finch,8.16%
Varied Thrush,8.14%
American Coot,8.04%
Hooded Merganser,8.04%
Common Loon,7.80%
Common Yellowthroat,7.64%
Swainson's Thrush,7.54%
Common Goldeneye,7.37%
Northern Yellow Warbler,7.22%
Savannah Sparrow,7.04%
Gadwall,6.89%
Western Warbling Vireo,6.72%
Ring-necked Duck,6.68%
Wood Duck,6.54%
Pelagic Cormorant,6.38%
Pileated Woodpecker,6.37%
Northern Pintail,6.36%
Brown-headed Cowbird,6.36%
Hairy Woodpecker,6.29%
Black-billed Magpie,6.17%
Ring-billed Gull,5.99%
California Quail,5.96%
Northern Shoveler,5.94%
Surf Scoter,5.90%
Chipping Sparrow,5.77%
Marsh Wren,5.70%
Horned Grebe,5.48%
Brewer's Blackbird,5.48%
Pied-billed Grebe,5.38%
Western Flycatcher,5.35%
California Gull,5.31%
Western Tanager,5.19%
Mountain Chickadee,4.86%
Osprey,4.84%
Red Crossbill,4.80%
Northern Harrier,4.68%
Red-necked Grebe,4.66%
Wilson's Warbler,4.61%
Barrow's Goldeneye,4.43%
Lesser Scaup,4.41%
Black Oystercatcher,4.40%
Cooper's Hawk,4.33%
Northern Rough-winged Swallow,3.93%
Black-headed Grosbeak,3.93%
Harlequin Duck,3.80%
Red-breasted Merganser,3.79%
Trumpeter Swan,3.77%
Lincoln's Sparrow,3.64%
Willow Flycatcher,3.62%
Spotted Sandpiper,3.51%
Greater Yellowlegs,3.45%
Merlin,3.30%
Western Wood-Pewee,3.21%
Townsend's Warbler,3.15%
Mourning Dove,3.11%
Western Meadowlark,2.96%
