Common Name,Frequency (%)
House Sparrow,38.93%
Black-capped Chickadee,33.97%
American Robin,33.64%
Canada Goose,28.60%
Black-billed Magpie,28.31%
Mallard,27.84%
American Crow,27.68%
Red-winged Blackbird,22.35%
Red-breasted Nuthatch,19.83%
Common Raven,19.25%
Common Grackle,17.75%
House Finch,17.37%
Mourning Dove,16.52%
Ring-billed Gull,16.25%
Rock Pigeon,15.30%
Western Meadowlark,14.71%
Northern Yellow Warbler,14.29%
American Goldfinch,13.38%
Clay-colored Sparrow,13.05%
Dark-eyed Junco,12.95%
Downy Woodpecker,12.88%
Barn Swallow,12.20%
Northern Flicker,12.15%
Killdeer,11.90%
Northern House Wren,11.71%
Song Sparrow,11.17%
Blue-winged Teal,11.09%
Brown-headed Cowbird,11.01%
Blue Jay,10.95%
Northern Shoveler,10.65%
Chipping Sparrow,10.37%
Eastern Kingbird,10.01%
Gadwall,9.35%
Cedar Waxwing,9.16%
White-throated Sparrow,9.06%
Tree Swallow,8.97%
Yellow-rumped Warbler,8.70%
Vesper Sparrow,8.58%
American Coot,8.26%
Horned Lark,8.21%
American Wigeon,8.14%
Least Flycatcher,8.11%
Savannah Sparrow,7.54%
Merlin,7.12%
Hairy Woodpecker,6.89%
Double-crested Cormorant,6.76%
Franklin's Gull,6.72%
Lesser Scaup,6.70%
Brewer's Blackbird,6.56%
White-breasted Nuthatch,6.36%
Yellow-headed Blackbird,6.34%
American White Pelican,6.10%
Red-tailed Hawk,5.97%
Green-winged Teal,5.86%
Canvasback,5.85%
Bufflehead,5.73%
Northern Pintail,5.56%
Gray Catbird,5.55%
Swainson's Hawk,5.42%
White-crowned Sparrow,5.28%
Northern Harrier,5.21%
Willet,5.13%
European Starling,5.12%
Redhead,5.12%
Common Goldeneye,5.03%
Baltimore Oriole,4.98%
Snow Goose,4.97%
Pine Siskin,4.93%
American Avocet,4.87%
Common Yellowthroat,4.76%
Purple Martin,4.72%
Red-eyed Vireo,4.62%
Brown Thrasher,4.60%
Western Kingbird,4.58%
Ruddy Duck,4.52%
Greater Yellowlegs,4.47%
Gray Partridge,4.26%
Eastern Warbling Vireo,4.14%
Red-necked Grebe,4.10%
Redpoll,4.05%
Eurasian Collared-Dove,4.02%
California Gull,3.79%
Eared Grebe,3.76%
Wilson's Snipe,3.76%
Pied-billed Grebe,3.70%
Swainson's Thrush,3.49%
Sora,3.48%
Black Tern,3.40%
Bald Eagle,3.38%
Orange-crowned Warbler,3.37%
Wilson's Phalarope,3.33%
Spotted Sandpiper,3.32%
Sandhill Crane,3.16%
Tennessee Warbler,3.03%
American Redstart,2.95%
Ring-necked Duck,2.94%
American Tree Sparrow,2.88%
Horned Grebe,2.86%
Lesser Yellowlegs,2.77%
Ruby-crowned Kinglet,2.69%
Cackling Goose,2.65%
Bohemian Waxwing,2.63%
Lincoln's Sparrow,2.59%
Marbled Godwit,2.58%
Yellow-bellied Sapsucker,2.56%
Purple Finch,2.51%
Great Blue Heron,2.46%
Western Grebe,2.42%
Belted Kingfisher,2.42%
Sharp-tailed Grouse,2.27%
Greater White-fronted Goose,2.23%
Turkey Vulture,2.21%
Eastern Phoebe,2.12%
Harris's Sparrow,2.10%
Great Horned Owl,2.06%
Common Loon,2.05%
Spotted Towhee,2.02%
Common Merganser,2.01%
Bank Swallow,1.98%
Rose-breasted Grosbeak,1.97%
Ruby-throated Hummingbird,1.88%
Cliff Swallow,1.88%
American Kestrel,1.80%
Ovenbird,1.75%
Upland Sandpiper,1.75%
Tundra Swan,1.72%
Snowy Owl,1.70%
Sprague's Pipit,1.67%
Bobolink,1.64%
Forster's Tern,1.63%
Black-and-white Warbler,1.60%
Hooded Merganser,1.60%
Palm Warbler,1.56%
Common Nighthawk,1.54%
American Herring Gull,1.54%
Ring-necked Pheasant,1.48%
Pine Grosbeak,1.45%
Loggerhead Shrike,1.40%
Ruffed Grouse,1.39%
Snow Bunting,1.36%
Alder Flycatcher,1.33%
